PLAYER;TEAM;NUMBER;POSITION;HEIGHT;WEIGHT;LAST ATTENDED;COUNTRY
Precious Achiuwa Headshot;TOR;5;F;6-8;225ÿlbs;Memphis;Nigeria
;;;;;;;
Precious;;;;;;;
;;;;;;;
Achiuwa;;;;;;;
Steven Adams Headshot;MEM;4;C;6-11;265ÿlbs;Pittsburgh;New Zealand
;;;;;;;
Steven;;;;;;;
;;;;;;;
Adams;;;;;;;
Bam Adebayo Headshot;MIA;13;C-F;6-9;255ÿlbs;Kentucky;USA
;;;;;;;
Bam;;;;;;;
;;;;;;;
Adebayo;;;;;;;
Santi Aldama Headshot;MEM;7;F-C;6-11;215ÿlbs;Loyola-Maryland;Spain
;;;;;;;
Santi;;;;;;;
;;;;;;;
Aldama;;;;;;;
LaMarcus Aldridge Headshot;BKN;21;C-F;6-11;250ÿlbs;Texas-Austin;USA
;;;;;;;
LaMarcus;;;;;;;
;;;;;;;
Aldridge;;;;;;;
Nickeil Alexander-Walker Headshot;POR;6;G;6-5;205ÿlbs;Virginia Tech;Canada
;;;;;;;
Nickeil;;;;;;;
;;;;;;;
Alexander-Walker;;;;;;;
Grayson Allen Headshot;MIL;7;G;6-4;198ÿlbs;Duke;USA
;;;;;;;
Grayson;;;;;;;
;;;;;;;
Allen;;;;;;;
Jarrett Allen Headshot;CLE;31;C;6-10;243ÿlbs;Texas-Austin;USA
;;;;;;;
Jarrett;;;;;;;
;;;;;;;
Allen;;;;;;;
Jose Alvarado Headshot;NOP;15;G;6-0;179ÿlbs;Georgia Tech;USA
;;;;;;;
Jose;;;;;;;
;;;;;;;
Alvarado;;;;;;;
Justin Anderson Headshot;;;F-G;6-5;231ÿlbs;Virginia;USA
;;;;;;;
Justin;;;;;;;
;;;;;;;
Anderson;;;;;;;
Kyle Anderson Headshot;MEM;1;F-G;6-9;230ÿlbs;UCLA;USA
;;;;;;;
Kyle;;;;;;;
;;;;;;;
Anderson;;;;;;;
Giannis Antetokounmpo Headshot;MIL;34;F;6-11;242ÿlbs;Filathlitikos;Greece
;;;;;;;
Giannis;;;;;;;
;;;;;;;
Antetokounmpo;;;;;;;
Thanasis Antetokounmpo Headshot;MIL;43;F;6-6;219ÿlbs;Panathinaikos;Greece
;;;;;;;
Thanasis;;;;;;;
;;;;;;;
Antetokounmpo;;;;;;;
Carmelo Anthony Headshot;LAL;7;F;6-7;238ÿlbs;Syracuse;USA
;;;;;;;
Carmelo;;;;;;;
;;;;;;;
Anthony;;;;;;;
Cole Anthony Headshot;ORL;50;G;6-3;185ÿlbs;North Carolina;USA
;;;;;;;
Cole;;;;;;;
;;;;;;;
Anthony;;;;;;;
OG Anunoby Headshot;TOR;3;F;6-7;232ÿlbs;Indiana;United Kingdom
;;;;;;;
OG;;;;;;;
;;;;;;;
Anunoby;;;;;;;
Trevor Ariza Headshot;LAL;1;F;6-8;215ÿlbs;UCLA;USA
;;;;;;;
Trevor;;;;;;;
;;;;;;;
Ariza;;;;;;;
D.J. Augustin Headshot;HOU;14;G;5-11;183ÿlbs;Texas-Austin;USA
;;;;;;;
D.J.;;;;;;;
;;;;;;;
Augustin;;;;;;;
Deni Avdija Headshot;WAS;9;F;6-9;210ÿlbs;Maccabi Tel Aviv;Israel
;;;;;;;
Deni;;;;;;;
;;;;;;;
Avdija;;;;;;;
Joel Ayayi Headshot;WAS;17;G;6-4;180ÿlbs;Gonzaga;France
;;;;;;;
Joel;;;;;;;
;;;;;;;
Ayayi;;;;;;;
Deandre Ayton Headshot;PHX;22;C;6-11;250ÿlbs;Arizona;Bahamas
;;;;;;;
Deandre;;;;;;;
;;;;;;;
Ayton;;;;;;;
Udoka Azubuike Headshot;UTA;20;C-F;7-0;270ÿlbs;Kansas;Nigeria
;;;;;;;
Udoka;;;;;;;
;;;;;;;
Azubuike;;;;;;;
Marvin Bagley III Headshot;SAC;35;F;6-11;235ÿlbs;Duke;USA
;;;;;;;
Marvin;;;;;;;
;;;;;;;
Bagley III;;;;;;;
LaMelo Ball Headshot;CHA;2;G;6-7;180ÿlbs;Illawarra;USA
;;;;;;;
LaMelo;;;;;;;
;;;;;;;
Ball;;;;;;;
Lonzo Ball Headshot;CHI;2;G;6-6;190ÿlbs;UCLA;USA
;;;;;;;
Lonzo;;;;;;;
;;;;;;;
Ball;;;;;;;
Mo Bamba Headshot;ORL;5;C;7-0;231ÿlbs;Texas-Austin;USA
;;;;;;;
Mo;;;;;;;
;;;;;;;
Bamba;;;;;;;
Desmond Bane Headshot;MEM;22;G;6-5;215ÿlbs;TCU;USA
;;;;;;;
Desmond;;;;;;;
;;;;;;;
Bane;;;;;;;
Dalano Banton Headshot;TOR;45;F;6-7;204ÿlbs;Nebraska;Canada
;;;;;;;
Dalano;;;;;;;
;;;;;;;
Banton;;;;;;;
Cat Barber Headshot;;;G;6-1;173ÿlbs;North Carolina State;USA
;;;;;;;
Cat;;;;;;;
;;;;;;;
Barber;;;;;;;
Harrison Barnes Headshot;SAC;40;F;6-8;225ÿlbs;North Carolina;USA
;;;;;;;
Harrison;;;;;;;
;;;;;;;
Barnes;;;;;;;
Scottie Barnes Headshot;TOR;4;F;6-7;225ÿlbs;Florida State;USA
;;;;;;;
Scottie;;;;;;;
;;;;;;;
Barnes;;;;;;;
RJ Barrett Headshot;NYK;9;F-G;6-6;214ÿlbs;Duke;Canada
;;;;;;;
RJ;;;;;;;
;;;;;;;
Barrett;;;;;;;
Will Barton Headshot;DEN;5;G;6-5;181ÿlbs;Memphis;USA
;;;;;;;
Will;;;;;;;
;;;;;;;
Barton;;;;;;;
Default player headshot;;;F;6-8;200ÿlbs;Detroit Mercy;USA
;;;;;;;
Paris;;;;;;;
;;;;;;;
Bass;;;;;;;
Charles Bassey Headshot;PHI;23;C-F;6-9;230ÿlbs;Western Kentucky;Nigeria
;;;;;;;
Charles;;;;;;;
;;;;;;;
Bassey;;;;;;;
Keita Bates-Diop Headshot;SAS;31;F;6-8;229ÿlbs;Ohio State;USA
;;;;;;;
Keita;;;;;;;
;;;;;;;
Bates-Diop;;;;;;;
Nicolas Batum Headshot;LAC;33;G-F;6-8;230ÿlbs;Le Mans;France
;;;;;;;
Nicolas;;;;;;;
;;;;;;;
Batum;;;;;;;
Kent Bazemore Headshot;LAL;9;G-F;6-4;195ÿlbs;Old Dominion;USA
;;;;;;;
Kent;;;;;;;
;;;;;;;
Bazemore;;;;;;;
Darius Bazley Headshot;OKC;7;F;6-8;208ÿlbs;Princeton HS (OH);USA
;;;;;;;
Darius;;;;;;;
;;;;;;;
Bazley;;;;;;;
Bradley Beal Headshot;WAS;3;G;6-4;207ÿlbs;Florida;USA
;;;;;;;
Bradley;;;;;;;
;;;;;;;
Beal;;;;;;;
Malik Beasley Headshot;MIN;5;G;6-4;187ÿlbs;Florida State;USA
;;;;;;;
Malik;;;;;;;
;;;;;;;
Beasley;;;;;;;
Jordan Bell Headshot;;;F;6-7;216ÿlbs;Oregon;USA
;;;;;;;
Jordan;;;;;;;
;;;;;;;
Bell;;;;;;;
DeAndre' Bembry Headshot;BKN;95;G-F;6-5;210ÿlbs;St. Joseph's (PA);USA
;;;;;;;
DeAndre';;;;;;;
;;;;;;;
Bembry;;;;;;;
Davis Bertans Headshot;WAS;42;F;6-10;225ÿlbs;Baskonia;Latvia
;;;;;;;
Davis;;;;;;;
;;;;;;;
Bertans;;;;;;;
Patrick Beverley Headshot;MIN;22;G;6-1;180ÿlbs;Arkansas;USA
;;;;;;;
Patrick;;;;;;;
;;;;;;;
Beverley;;;;;;;
Saddiq Bey Headshot;DET;41;F;6-7;215ÿlbs;Villanova;USA
;;;;;;;
Saddiq;;;;;;;
;;;;;;;
Bey;;;;;;;
Khem Birch Headshot;TOR;24;C;6-9;233ÿlbs;UNLV;Canada
;;;;;;;
Khem;;;;;;;
;;;;;;;
Birch;;;;;;;
Goga Bitadze Headshot;IND;88;C-F;7-0;250ÿlbs;Mega Basket;Georgia
;;;;;;;
Goga;;;;;;;
;;;;;;;
Bitadze;;;;;;;
Bismack Biyombo Headshot;PHX;18;C;6-8;255ÿlbs;Baloncesto Fuenlabrada;DRC
;;;;;;;
Bismack;;;;;;;
;;;;;;;
Biyombo;;;;;;;
Nemanja Bjelica Headshot;GSW;8;F;6-9;234ÿlbs;Fenerbahce;Serbia
;;;;;;;
Nemanja;;;;;;;
;;;;;;;
Bjelica;;;;;;;
